Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float,standard,4,640000,640000,800,0.247207,0.3479296875,0.296201171875,1.7950246046657295e-09,29.774080793984613,4.027641664194198e-21,1.1081198589084043,64806418.75803624,64805730.0
float8,standard,1,810000,810000,900,3.491163,1.83,22.59,7.487662068375639e-08,0.0,6.229453694465706e-18,0.0,90991545.80439723,90991545.80439723
float8,standard,3,810000,810000,900,0.222105,0.046005859375,0.29697265625,213.74135018954084,0.0,50.761516423164366,0.0,202189.5857465026,202330.73790931975
float8,standard,4,810000,810000,900,0.22414,0.021708984375,0.350888671875,7.442675167679258e-09,0.0,6.154823739065497e-20,0.0,90991545.80439726,90991545.80439723
float,standard,1,810000,810000,900,3.487726,1.83,22.62,7.71455742275529e-08,25.796047754379103,6.612710692109859e-18,0.7393734219402301,90991545.80439714,90991090.0
float,standard,3,810000,810000,900,0.185106,0.045615234375,0.29251953125,213.74135018954053,0.00040678883572857396,50.76151642316422,1.8386350763712078e-10,202189.58574650262,202330.73
float,standard,4,810000,810000,900,0.231726,0.021728515625,0.3592578125,7.452612472088037e-09,25.796047754379103,6.171270295458019e-20,0.7393734219402301,90991545.80439724,90991090.0
float8,standard,1,1000000,1000000,1000,4.858875,1.85,30.9,1.0126031848233165e-07,0.0,1.0253652099143236e-17,0.0,120386282.20237415,120386282.20237422
float8,standard,3,1000000,1000000,1000,0.227288,0.05025390625,0.32798828125,226.9816119403307,0.0,51.52065215903088,0.0,240983.29001874075,240895.42588714533
float8,standard,4,1000000,1000000,1000,0.243953,0.0217578125,0.357919921875,9.368393733047946e-09,0.0,8.776680113741202e-20,0.0,120386282.20237425,120386282.20237422
float,standard,1,1000000,1000000,1000,4.639965,1.85,30.91,9.819404130226112e-08,32.69733438341425,9.642069747270162e-18,1.0691156757808038,120386282.20237426,120385620.0
float,standard,3,1000000,1000000,1000,0.245844,0.0510546875,0.327158203125,226.98161194033054,0.0004497813533141645,51.520652159030796,2.0230326578912126e-10,240983.29001874075,240895.42
float,standard,4,1000000,1000000,1000,0.23518,0.0217578125,0.363642578125,9.440055207186578e-09,32.69733438341425,8.911464231473043e-20,1.0691156757808038,120386282.20237425,120385620.0
float8,standard,3,6250000,6250000,2500,0.251707,0.22615234375,0.551689453125,595.4516676558328,0.0,141.82507540564495,0.0,1556870.9643482687,1556673.4858741667
